"serial_number","z_position","box_index","x_center","y_center"
M50L-14,44.0,1,1275.7,790.7
M50L-15,9.0,1,561.5,549.5
M50L-15,22.0,1,492.7,510.1
M50L-15,23.0,1,405.7,564.1
M50L-15,46.0,1,793.9,1220.9
M50L-15,58.0,1,117.5,878.3
M50L-15,61.0,1,420.4,1235.6
M50L-15,61.0,2,199.9,1060.9
M50L-15,61.0,3,287.9,750.4
M50L-16,0.5,1,513.7,468.3
M50L-16,18.0,1,377.2,578.4
M50L-16,38.0,1,385.8,928.1
M50L-16,48.0,1,765.3,80.7
M50L-16,48.0,2,121.19999999999999,702.4
M50L-16,49.0,1,506.9,92.0
M50L-16,50.0,1,194.8,293.1
M50L-16,51.0,1,715.5,855.5
M50L-16,51.0,2,882.0,1110.1
M50L-16,55.0,1,722.7,75.7
M50L-16,57.0,1,1043.2,186.1
M50L-16,60.0,1,272.5,1149.2
M50L-17,11.0,1,1007.6,909.7
M50L-17,39.0,1,410.9,734.4
M50L-17,56.0,1,963.1,1191.5
M50L-18,10.0,1,716.4,820.2
M50L-18,29.0,1,587.0,68.3
M50L-18,29.0,2,834.9,90.1
M50L-18,30.0,1,576.2,69.2
M50L-18,53.0,1,923.5,121.0
M50L-18,55.0,1,557.6,72.1
M50L-18,60.0,1,874.8,400.8
M50L-19,16.0,1,1196.8,513.0
M50L-19,38.0,1,717.7,71.4
M50L-19,41.0,1,467.3,105.9
M50L-19,43.0,1,634.7,120.1
M50L-19,45.0,1,296.0,206.5
M50L-19,45.0,2,343.2,172.8
M50L-19,45.0,3,481.5,101.0
M50L-19,46.0,1,473.8,103.3
M50L-19,50.0,1,672.8,811.8
M50L-19,51.0,1,715.9,213.6
M50L-19,51.0,2,219.6,406.6
M50L-19,57.0,1,607.0,73.7
M50L-19,59.0,1,724.3,72.3
M50L-19,59.0,2,952.0,124.6
M50L-19,60.0,1,743.6,75.3
M50L-19,60.0,2,228.5,270.1
M50L-19,61.0,1,251.0,247.89999999999998
M50L-19,61.0,2,879.7,109.4
M50L-19,61.0,3,524.8,86.8
M50L-19,62.0,1,330.3,183.5
M50L-19,64.0,1,379.8,151.7
M50L-20,39.0,1,883.0,86.7
M50L-20,43.0,1,646.7,52.2
M50L-20,44.0,1,651.8,49.7
M50L-20,44.0,2,875.8,100.0
M50L-20,44.0,3,1061.7,208.7
M50L-20,46.0,1,607.4,70.5
M50L-20,46.0,2,875.8,99.1
M50L-20,46.0,3,561.8,1060.5
M50L-20,49.0,1,499.9,94.3
M50L-20,49.0,2,644.8,50.0
M50L-20,49.0,3,671.9,50.4
M50L-20,51.0,1,510.0,72.7
M50L-20,52.0,1,518.2,70.2
M50L-20,52.0,2,918.3,116.1
M50L-20,52.0,3,953.9,133.5
M50L-20,52.0,4,1284.7,606.5
M50L-20,53.0,1,966.0,140.3
M50L-20,53.0,2,100.1,452.4
M50L-20,54.0,1,920.8,116.9
M50L-20,55.0,1,603.5,54.099999999999994
M50L-20,56.0,1,604.5,53.8
M50L-20,56.0,2,722.0,67.9
M50L-20,56.0,3,814.8,80.5
M50L-20,56.0,4,865.5,95.4
M50L-20,56.0,5,1023.9000000000001,178.4
M50L-20,56.0,6,970.5,142.6
M50L-20,56.0,7,915.4,114.3
M50L-20,56.0,8,901.3,107.4
M50L-20,57.0,1,1055.6,201.3
M50L-20,57.0,2,1004.9,163.3
M50L-20,57.0,3,992.5,153.3
M50L-20,57.0,4,399.2,303.6
M50L-21,15.0,1,1268.3,579.8
M50L-21,15.0,2,1270.2,578.8
M50L-21,16.0,1,1119.4,263.1
M50L-21,16.0,2,1054.9,201.7
M50L-21,18.0,1,320.0,774.7
M50L-21,19.0,1,1143.9,287.2
M50L-21,20.0,1,1251.0,528.3
M50L-21,20.0,2,1251.0,528.8
M50L-21,22.0,1,1220.9,415.5
M50L-21,22.0,2,1208.5,387.1
M50L-21,22.0,3,1141.1,287.8
M50L-21,22.0,4,1116.3,258.9
M50L-21,40.0,1,288.9,186.3
M50L-21,41.0,1,1183.6,328.5
M50L-21,43.0,1,1214.3,406.6
M50L-21,43.0,2,1274.0,623.2
M50L-21,44.0,1,1275.1,666.1
M50L-21,44.0,2,1275.1,657.9
M50L-21,44.0,3,1274.0,624.7
M50L-21,46.0,1,1217.1,414.3
M50L-21,46.0,2,1274.3,687.7
M50L-21,47.0,1,1262.6,760.3
M50L-21,48.0,1,597.7,64.3
M50L-21,48.0,2,1246.6,828.5
M50L-21,49.0,1,1064.9,214.9
M50L-21,50.0,1,1225.9,424.9
M50L-21,50.0,2,1191.2,359.5
M50L-21,50.0,3,1188.1,354.8
M50L-21,51.0,1,1181.8,344.5
M50L-21,51.0,2,1154.0,307.0
M50L-21,51.0,3,1141.9,290.5
M50L-21,51.0,4,1086.3,233.6
M50L-21,51.0,5,1109.2,255.8
M50L-21,51.0,6,1251.2,505.29999999999995
M50L-21,52.0,1,484.5,89.3
M50L-21,52.0,2,1115.9,263.2
M50L-21,52.0,3,1136.3,284.9
M50L-21,52.0,4,1140.9,290.6
M50L-21,52.0,5,1147.8,297.5
M50L-21,52.0,6,1172.0,329.2
M50L-21,52.0,7,1175.2,334.3
M50L-21,52.0,8,1188.9,354.5
M50L-21,52.0,9,1195.9,367.3
M50L-21,52.0,10,1204.8,382.4
M50L-21,52.0,11,1213.1,398.8
M50L-21,52.0,12,1255.8,511.79999999999995
M50L-21,53.0,1,1271.3,649.9
M50L-21,53.0,2,1265.3,555.1
M50L-21,53.0,3,1262.2,537.5
M50L-21,53.0,4,1244.6,472.1
M50L-21,53.0,5,1235.3,448.2
M50L-21,54.0,1,1271.3,613.0
M50L-21,54.0,2,1201.0,560.8
M50L-21,54.0,3,1245.2,472.5
M50L-21,54.0,4,1239.2,460.4
M50L-21,54.0,5,1243.2,466.5
M50L-21,54.0,6,1231.2,440.4
M50L-21,54.0,7,1209.1,394.2
M50L-21,54.0,8,1205.1,382.1
M50L-21,54.0,9,1120.7,267.7
M50L-21,54.0,10,1262.3,548.6
M50L-21,54.0,11,1262.3,548.6
M50L-21,54.0,12,1262.3,548.6
M50L-21,55.0,1,1194.9,364.5
M50L-21,55.0,2,1206.2,385.7
M50L-21,55.0,3,1218.3,407.7
M50L-21,55.0,4,1255.8,506.70000000000005
M50L-21,55.0,5,1274.3,624.6
M50L-21,55.0,6,1269.6,749.9
M50L-21,56.0,1,336.1,159.1
M50L-21,56.0,2,1273.6,617.2
M50L-21,56.0,3,1274.8,624.2
M50L-21,56.0,4,1257.4,517.8
M50L-21,56.0,5,1244.0,468.8
M50L-21,56.0,6,1240.0,457.5
M50L-21,57.0,1,611.4,64.8
M50L-21,57.0,2,1251.8,493.8
M50L-21,59.0,1,1267.3,562.5
M50L-21,59.0,2,1256.3,511.0
M50L-21,61.0,1,237.1,996.4
M50L-21,62.0,1,381.7,164.6
M50L-22,26.0,1,186.5,309.1
M50L-22,30.0,1,98.1,465.9
M50L-22,31.0,1,90.4,495.6
M50L-22,31.0,2,142.8,369.5
M50L-22,31.0,3,165.3,327.1
M50L-22,31.0,4,235.7,248.3
M50L-22,34.0,1,104.9,443.4
M50L-22,40.0,1,116.6,423.2
M50L-22,47.0,1,345.2,351.7
M50L-22,48.0,1,305.4,188.7
M50L-22,49.0,1,156.2,350.2
M50L-22,54.0,1,994.8,909.5
M50L-22,54.0,2,195.9,292.6
M50L-22,55.0,1,75.6,732.9
M50L-22,55.0,2,72.3,645.5
M50L-22,56.0,1,525.4,1261.8
M50L-22,56.0,2,160.4,343.6
M50L-22,56.0,3,96.6,484.6
M50L-22,56.0,4,77.9,572.5
M50L-22,57.0,1,443.1,113.0
M50L-22,57.0,2,107.6,449.2
M50L-22,58.0,1,131.7,395.4
M50L-22,58.0,2,99.9,475.5
M50L-22,58.0,3,90.2,506.20000000000005
M50L-22,58.0,4,84.6,538.0
M50L-22,62.0,1,296.0,449.1
M50L-22,64.0,1,769.1,843.1
M50L-23,1.7000000476837158,1,381.5,1051.3
M50L-23,20.0,1,154.6,546.4
M50L-23,20.0,2,826.5,1056.1
M50L-23,26.0,1,1197.2,1007.1
M50L-23,26.0,2,511.1,1079.8
M50L-23,28.0,1,975.3,718.3
M50L-23,30.0,1,1202.9,796.6
M50L-23,30.0,2,504.0,344.3
M50L-23,37.0,1,793.4,814.8
M50L-23,46.0,1,647.3,1271.6
M50L-23,48.0,1,694.4,1271.1
M50L-23,48.0,2,645.7,1271.5
M50L-23,48.0,3,596.6,1269.2
M50L-23,48.0,4,532.3,1258.7
M50L-23,49.0,1,245.9,1097.7
M50L-23,49.0,2,413.3,1217.6
M50L-23,49.0,3,691.0,1270.4
M50L-23,50.0,1,764.0,913.0
M50L-23,50.0,2,356.1,1187.0
M50L-23,50.0,3,502.9,1251.4
M50L-23,50.0,4,513.2,1254.1
M50L-23,50.0,5,649.2,1271.7
M50L-23,50.0,6,774.8,1261.4
M50L-23,50.0,7,840.3,1245.0
M50L-23,50.0,8,552.1,1262.3
M50L-23,51.0,1,448.4,1233.0
M50L-23,51.0,2,607.9,1269.5
M50L-23,51.0,3,668.7,1271.2
M50L-23,51.0,4,691.3,1270.7
M50L-23,51.0,5,698.2,1270.5
M50L-23,51.0,6,775.4,1260.3
M50L-23,61.0,1,447.3,939.0
