portal_idx,serial_number,z_portal,y_center,x_center,status,z_raw,y_raw,x_raw,ml_prob,particle_class,notes
72,M50L-08,42.0,120.3,570.3,matched,2699.0,1261.0,605.0,,,
73,M50L-08,45.0,756.7,78.4,matched,2880.0,625.0,113.0,,,
74,M50L-09,13.0,875.5,560.5,matched,911.0,495.0,603.0,,,
75,M50L-09,31.0,258.4,522.6,matched,2041.0,1117.0,558.0,,,
76,M50L-09,39.0,606.3,432.3,no_match,,,,,,
77,M50L-09,48.0,434.1,1120.5,matched,3075.0,947.0,1153.0,,,
78,M50L-09,49.0,302.9,670.6,matched,3096.0,1078.0,704.0,,,
79,M50L-09,59.0,865.1,952.1,matched,3728.0,520.0,983.0,,,
80,M50L-09,65.7,587.7,278.0,no_match,,,,,,
81,M50L-09,65.7,437.9,305.5,no_match,,,,,,
82,M50L-10,16.0,740.9,780.6,matched,1076.0,634.0,818.0,,,
83,M50L-10,21.0,707.1,239.7,matched,1396.0,668.0,274.0,,,
84,M50L-10,21.0,1264.5,819.5,matched,1431.0,112.0,853.0,,,
85,M50L-10,21.0,707.9,240.2,matched,1396.0,668.0,274.0,,,
86,M50L-10,40.0,855.7,551.9,matched,2576.0,525.0,579.0,,,
87,M50L-10,63.0,349.8,400.7,matched,3977.0,1037.0,419.0,,,
88,M50L-11,27.0,1190.1,845.3,matched,1761.0,180.0,882.0,,,
89,M50L-11,29.0,173.5,756.0,matched,1892.0,1198.0,793.0,,,
90,M50L-11,29.0,191.6,983.1,no_match,,,,,,
91,M50L-11,54.0,691.0,1111.6,matched,3433.0,683.0,1138.0,,,
92,M50L-11,58.0,1191.6,473.1,matched,3658.0,183.0,499.0,,,
93,M50L-12,16.0,494.1,768.1,matched,1127.0,877.0,806.0,,,
94,M50L-12,30.0,391.6,720.5,matched,1994.0,981.0,756.0,,,same particle as in z=31-straddles boundary
95,M50L-12,31.0,392.2,721.4,matched,1994.0,981.0,756.0,,,same particle as in z=30-straddles boundary
96,M50L-12,34.0,793.8,407.1,matched,2213.0,580.0,440.0,,,
97,M50L-12,34.0,816.9,224.7,matched,2214.0,557.0,228.0,,,
98,M50L-12,45.0,768.3,614.5,matched,2853.0,606.0,646.0,,,
99,M50L-12,64.0,185.7,959.3,matched,4066.0,1190.0,988.0,,,
100,M50L-14,19.0,515.8,1079.3,matched,1266.0,856.0,1117.0,,,
101,M50L-14,27.0,1061.4,424.2,matched,1784.0,312.0,460.0,,,
102,M50L-14,32.0,441.9,192.0,matched,2098.0,932.0,227.0,,,
103,M50L-14,38.0,984.8,738.2,matched,2441.0,391.0,771.0,,,
104,M50L-14,44.0,790.7,1275.7,matched,2797.0,585.0,1307.0,,,
105,M50L-15,9.0,549.5,561.5,matched,698.0,824.0,607.0,0.9991906331269852,1.0,
106,M50L-15,22.0,510.1,492.7,matched,1493.0,862.0,538.0,0.9993078776081828,1.0,
107,M50L-15,23.0,564.1,405.7,matched,1570.0,808.0,452.0,0.9979990559590236,1.0,
108,M50L-15,46.0,1220.9,793.9,matched,2951.0,150.0,840.0,0.9992337152731467,1.0,
109,M50L-15,58.0,878.3,117.5,matched,3657.0,493.0,165.0,0.9992916417969652,1.0,
110,M50L-15,61.0,1235.6,420.4,matched,3874.0,135.0,468.0,0.9939110922102,1.0,
111,M50L-15,61.0,1060.9,199.9,matched,3844.0,310.0,248.0,0.15730125241133,4.0,
112,M50L-15,61.0,750.4,287.9,matched,3839.0,619.0,335.0,0.9994143670224748,1.0,
113,M50L-16,0.5,468.3,513.7,no_match,,,,,,
114,M50L-16,18.0,578.4,377.2,matched,1240.0,790.0,421.0,0.9871466855608272,-1.0,
115,M50L-16,38.0,928.1,385.8,matched,2463.0,440.0,429.0,0.9981667194966064,1.0,
116,M50L-16,48.0,80.7,765.3,matched,3065.0,1288.0,809.0,0.985094282893576,3.0,
117,M50L-16,48.0,702.4,121.2,matched,3047.0,666.0,164.0,0.9989153485791832,1.0,
118,M50L-16,49.0,92.0,506.9,matched,3136.0,1276.0,550.0,0.992661343704047,3.0,
119,M50L-16,50.0,293.1,194.8,matched,3206.0,1075.0,238.0,0.9933863294640578,1.0,Only found at low threshold of 3.0
120,M50L-16,51.0,855.5,715.5,matched,3226.0,512.0,759.0,0.981191692112161,4.0,
121,M50L-16,51.0,1110.1,882.0,matched,3258.0,258.0,925.0,0.9982477883725922,1.0,
122,M50L-16,55.0,75.7,722.7,matched,3520.0,1292.0,766.0,0.9984810930628106,1.0,
123,M50L-16,57.0,186.1,1043.2,matched,3621.0,1181.0,1086.0,0.5540690672602294,4.0,
124,M50L-16,60.0,1149.2,272.5,matched,3792.0,218.0,316.0,0.9873146346587616,1.0,
125,M50L-17,11.0,909.7,1007.6,no_match,,,,,,Needs larger window to reach seed threshold 4.2
126,M50L-17,39.0,734.4,410.9,matched,2528.0,633.0,453.0,0.9994071124310708,1.0,
127,M50L-17,56.0,1191.5,963.1,matched,3582.0,176.0,1003.0,0.9989909040213792,1.0,
128,M50L-18,10.0,820.2,716.4,matched,764.0,551.0,763.0,0.998734600890852,1.0,
129,M50L-18,29.0,68.3,587.0,matched,1896.0,1300.0,631.0,0.2287246402320737,1.0,
130,M50L-18,29.0,90.1,834.9,matched,1901.0,1278.0,877.0,0.9822769682227702,3.0,
131,M50L-18,30.0,69.2,576.2,matched,2004.0,1298.0,619.0,0.2287246402320737,1.0,
132,M50L-18,53.0,121.0,923.5,matched,3380.0,1242.0,960.0,0.999251228484808,1.0,
133,M50L-18,55.0,72.1,557.6,matched,3513.0,1294.0,595.0,0.8405302686303086,2.0,
134,M50L-18,60.0,400.8,874.8,matched,3822.0,965.0,909.0,0.9987639910337262,1.0,
135,M50L-19,16.0,513.0,1196.8,matched,1123.0,857.0,1239.0,0.9988131780412384,1.0,
136,M50L-19,38.0,71.4,717.7,matched,2463.0,1293.0,755.0,0.9961698155650096,-1.0,
137,M50L-19,41.0,105.9,467.3,matched,2632.0,1260.0,504.0,0.999270127631014,3.0,
138,M50L-19,43.0,120.1,634.7,matched,2739.0,1246.0,670.0,0.999361473558974,1.0,
139,M50L-19,45.0,206.5,296.0,matched,2891.0,1159.0,331.0,0.9986909573121696,4.0,
140,M50L-19,45.0,172.8,343.2,matched,2893.0,1193.0,377.0,0.9989026527865223,4.0,
141,M50L-19,45.0,101.0,481.5,matched,2896.0,1264.0,516.0,0.999242956124448,3.0,
142,M50L-19,46.0,103.3,473.8,matched,2968.0,1261.0,508.0,0.9992783207175878,3.0,
143,M50L-19,50.0,811.8,672.8,matched,3216.0,553.0,707.0,0.9965602129135532,1.0,
144,M50L-19,51.0,213.6,715.9,matched,3263.0,1151.0,749.0,0.9993117152855192,1.0,
145,M50L-19,51.0,406.6,219.6,matched,3237.0,957.0,255.0,0.9949514563355414,-1.0,
146,M50L-19,57.0,73.7,607.0,matched,3596.0,1290.0,640.0,0.9965772135598652,3.0,
147,M50L-19,59.0,72.3,724.3,matched,3714.0,1291.0,755.0,0.8335523624680605,3.0,
148,M50L-19,59.0,124.6,952.0,matched,3716.0,1240.0,983.0,0.990920110833052,1.0,
149,M50L-19,60.0,75.3,743.6,matched,3816.0,1288.0,774.0,0.9992475070175292,3.0,
150,M50L-19,60.0,270.1,228.5,matched,3814.0,1093.0,259.0,0.9980194082293954,-1.0,
151,M50L-19,61.0,247.9,251.0,matched,3849.0,1116.0,282.0,0.9944901206327988,-1.0,
152,M50L-19,61.0,109.4,879.7,no_match,,,,,,Appears min_seed is only 2
153,M50L-19,61.0,86.8,524.8,matched,3876.0,1274.0,557.0,0.9983422028582656,3.0,
154,M50L-19,62.0,183.5,330.3,matched,3943.0,1180.0,361.0,0.999029959062685,3.0,
155,M50L-19,64.0,151.7,379.8,matched,4030.0,1211.0,410.0,0.9993475779784704,3.0,
156,M50L-20,39.0,86.7,883.0,no_match,,,,,,Contrast too low
157,M50L-20,43.0,52.2,646.7,matched,2765.0,1315.0,688.0,0.7658613341619535,1.0,
158,M50L-20,44.0,49.7,651.8,matched,2801.0,1316.0,690.0,0.7658613341619535,1.0,
159,M50L-20,44.0,100.0,875.8,matched,2832.0,1266.0,914.0,0.5614301013316089,3.0,
160,M50L-20,44.0,208.7,1061.7,matched,2856.0,1158.0,1099.0,0.990257451511642,3.0,
161,M50L-20,46.0,70.5,607.4,matched,2932.0,1294.0,647.0,0.9932432206301908,1.0,
162,M50L-20,46.0,99.1,875.8,matched,2932.0,1266.0,915.0,0.0890515863712325,1.0,
163,M50L-20,46.0,1060.5,561.8,matched,2921.0,305.0,603.0,0.9989353794988852,2.0,
164,M50L-20,49.0,94.3,499.9,matched,3144.0,1271.0,537.0,0.9987523698497344,3.0,
165,M50L-20,49.0,50.0,644.8,matched,3128.0,1315.0,683.0,0.9484243077080612,1.0,
166,M50L-20,49.0,50.4,671.9,matched,3152.0,1315.0,708.0,0.8865315420649132,1.0,
167,M50L-20,51.0,72.7,510.0,matched,3228.0,1293.0,548.0,0.75322132783785,1.0,
168,M50L-20,52.0,70.2,518.2,matched,3320.0,1295.0,556.0,0.9923421251557488,1.0,
169,M50L-20,52.0,116.1,918.3,matched,3312.0,1249.0,956.0,0.995282666880952,1.0,
170,M50L-20,52.0,133.5,953.9,matched,3304.0,1232.0,991.0,0.5049553041758849,1.0,
171,M50L-20,52.0,606.5,1284.7,matched,3308.0,758.0,1322.0,0.9955943535015972,1.0,
172,M50L-20,53.0,140.3,966.0,matched,3366.0,1225.0,1003.0,0.7111219508808792,1.0,
173,M50L-20,53.0,452.4,100.1,matched,3390.0,911.0,139.0,0.9962845572364692,1.0,
174,M50L-20,54.0,116.9,920.8,matched,3473.0,1257.0,937.0,0.3738259845553005,1.0,
175,M50L-20,55.0,54.1,603.5,matched,3502.0,1311.0,640.0,0.9920565471950789,1.0,
176,M50L-20,56.0,53.8,604.5,matched,3551.0,1311.0,641.0,0.9920565471950789,1.0,
177,M50L-20,56.0,67.9,722.0,matched,3566.0,1297.0,759.0,0.9990220680205844,3.0,
178,M50L-20,56.0,80.5,814.8,no_match,,,,,,Contrast too low
179,M50L-20,56.0,95.4,865.5,no_match,,,,,,Contrast too low
180,M50L-20,56.0,178.4,1023.9,matched,3551.0,1187.0,1061.0,0.9953935626685902,3.0,
181,M50L-20,56.0,142.6,970.5,matched,3544.0,1222.0,1007.0,0.9943952593632744,3.0,
182,M50L-20,56.0,114.3,915.4,no_match,,,,,,Contrast too low
183,M50L-20,56.0,107.4,901.3,no_match,,,,,,Contrast too low
184,M50L-20,57.0,201.3,1055.6,matched,3605.0,1162.0,1093.0,0.9874795674796604,3.0,
185,M50L-20,57.0,163.3,1004.9,matched,3627.0,1200.0,1042.0,0.4495078982251597,3.0,
186,M50L-20,57.0,153.3,992.5,matched,3595.0,1209.0,1029.0,0.9943952593632744,3.0,
187,M50L-20,57.0,303.6,399.2,matched,3633.0,1060.0,437.0,0.9989649492098956,1.0,
188,M50L-21,15.0,579.8,1268.3,matched,1084.0,787.0,1312.0,0.9442036289737948,3.0,
189,M50L-21,15.0,578.8,1270.2,matched,1084.0,787.0,1312.0,0.9442036289737948,3.0,
190,M50L-21,16.0,263.1,1119.4,matched,1142.0,1102.0,1166.0,0.9336414616931928,3.0,
191,M50L-21,16.0,201.7,1054.9,no_match,,,,,,Contrast just below threshold
192,M50L-21,18.0,774.7,320.0,matched,1240.0,593.0,364.0,0.9985880526211096,2.0,
193,M50L-21,19.0,287.2,1143.9,matched,1277.0,1079.0,1185.0,0.3363400515103457,3.0,
194,M50L-21,20.0,528.3,1251.0,matched,1369.0,836.0,1293.0,0.9993212066878426,1.0,
195,M50L-21,20.0,528.8,1251.0,matched,1369.0,836.0,1293.0,0.9993212066878426,1.0,repeat from portal
196,M50L-21,22.0,415.5,1220.9,matched,1501.0,953.0,1264.0,0.0223585515117965,-1.0,
197,M50L-21,22.0,387.1,1208.5,no_match,,,,,,
198,M50L-21,22.0,287.8,1141.1,no_match,,,,,,cannot find
199,M50L-21,22.0,258.9,1116.3,matched,1431.0,1109.0,1157.0,0.5092999585884809,-1.0,
200,M50L-21,40.0,186.3,288.9,matched,2600.0,1178.0,328.0,0.0195978441395369,1.0,
201,M50L-21,41.0,328.5,1183.6,matched,2642.0,1036.0,1220.0,0.5126761218880302,1.0,
202,M50L-21,43.0,406.6,1214.3,matched,2769.0,957.0,1252.0,0.9951073955830444,3.0,
203,M50L-21,43.0,623.2,1274.0,no_match,,,,,,
204,M50L-21,44.0,666.1,1275.1,matched,2836.0,707.0,1310.0,0.9872818845920762,3.0,
205,M50L-21,44.0,657.9,1275.1,matched,2838.0,700.0,1310.0,0.9872818845920762,3.0,
206,M50L-21,44.0,624.7,1274.0,matched,2802.0,740.0,1309.0,0.9086,3.0,
207,M50L-21,46.0,414.3,1217.1,matched,2969.0,951.0,1255.0,0.9898335248576764,3.0,
208,M50L-21,46.0,687.7,1274.3,matched,2973.0,680.0,1309.0,0.999332577234532,3.0,
209,M50L-21,47.0,760.3,1262.6,matched,3025.0,600.0,1300.0,0.9965849352529156,3.0,
210,M50L-21,48.0,64.3,597.7,matched,3084.0,1301.0,631.0,0.9740201486724755,1.0,
211,M50L-21,48.0,828.5,1246.6,matched,3099.0,534.0,1285.0,0.998551309186447,3.0,
212,M50L-21,49.0,214.9,1064.9,matched,3149.0,1150.0,1098.0,0.9993528561606432,3.0,
213,M50L-21,50.0,424.9,1225.9,matched,3212.0,940.0,1259.0,0.8081780035633651,3.0,
214,M50L-21,50.0,359.5,1191.2,matched,3204.0,1009.0,1222.0,0.992307113975706,3.0,
215,M50L-21,50.0,354.8,1188.1,matched,3200.0,1006.0,1224.0,0.995781113535508,3.0,
216,M50L-21,51.0,344.5,1181.8,no_match,,,,,,too small above SNR
217,M50L-21,51.0,307.0,1154.0,matched,3267.0,1074.0,1175.0,0.904,3.0,
218,M50L-21,51.0,290.5,1141.9,matched,3297.0,1080.0,1169.0,0.0331246098347854,-1.0,
219,M50L-21,51.0,233.6,1086.3,no_match,,,,,,
220,M50L-21,51.0,255.8,1109.2,matched,3306.0,1099.0,1152.0,0.8581386272736166,-1.0,
221,M50L-21,51.0,505.3,1251.2,matched,3256.0,858.0,1288.0,0.7760785490127077,3.0,
222,M50L-21,52.0,89.3,484.5,matched,3344.0,1276.0,516.0,0.9767695785677823,1.0,
223,M50L-21,52.0,263.2,1115.9,matched,3241.0,1107.0,1144.0,0.8147247486471277,-1.0,
224,M50L-21,52.0,284.9,1136.3,matched,3297.0,1080.0,1170.0,0.03,-1.0,
225,M50L-21,52.0,290.6,1140.9,matched,3295.0,1102.0,1149.0,0.9905914930352604,3.0,
226,M50L-21,52.0,297.5,1147.8,matched,3345.0,1075.0,1174.0,0.9087697349353048,3.0,
227,M50L-21,52.0,329.2,1172.0,matched,3317.0,1038.0,1202.0,0.8436608760094512,4.0,
228,M50L-21,52.0,334.3,1175.2,matched,3274.0,1019.0,1215.0,0.9071417120317684,-1.0,
229,M50L-21,52.0,354.5,1188.9,matched,3295.0,997.0,1229.0,0.6984943508841343,3.0,
230,M50L-21,52.0,367.3,1195.9,matched,3295.0,997.0,1229.0,0.70,3.0,
231,M50L-21,52.0,382.4,1204.8,matched,3295.0,997.0,1229.0,0.6984943508841343,3.0,
232,M50L-21,52.0,398.8,1213.1,matched,3328.0,967.0,1245.0,0.6723614058249469,3.0,
233,M50L-21,52.0,511.8,1255.8,matched,3324.0,853.0,1289.0,0.9823717201173456,3.0,
234,M50L-21,53.0,649.9,1271.3,matched,3353.0,713.0,1308.0,0.9984188392538552,3.0,
235,M50L-21,53.0,555.1,1265.3,matched,3410.0,811.0,1298.0,0.9951284289084976,3.0,
236,M50L-21,53.0,537.5,1262.2,matched,3324.0,853.0,1289.0,0.9823717201173456,3.0,
237,M50L-21,53.0,472.1,1244.6,matched,3395.0,904.0,1273.0,0.0031142498446206,-1.0,
238,M50L-21,53.0,448.2,1235.3,matched,3425.0,922.0,1266.0,0.5656131656057479,3.0,
239,M50L-21,54.0,613.0,1271.3,matched,3457.0,749.0,1306.0,0.2983480574860679,-1.0,
240,M50L-21,54.0,560.8,1201.0,matched,3463.0,802.0,1235.0,0.9454062785645788,1.0,
241,M50L-21,54.0,472.5,1245.2,matched,3403.0,892.0,1277.0,0.6638859735621104,3.0,
242,M50L-21,54.0,460.4,1239.2,matched,3380.0,916.0,1269.0,0.4411831468482118,3.0,
243,M50L-21,54.0,466.5,1243.2,matched,3439.0,904.0,1273.0,0.2788718827633709,3.0,
244,M50L-21,54.0,440.4,1231.2,matched,3381.0,917.0,1268.0,0.644909420531618,3.0,
245,M50L-21,54.0,394.2,1209.1,matched,3445.0,980.0,1238.0,0.5627835276086628,3.0,
246,M50L-21,54.0,382.1,1205.1,matched,3445.0,980.0,1238.0,0.5627835276086628,3.0,
247,M50L-21,54.0,267.7,1120.7,matched,3388.0,1096.0,1154.0,0.0663576974546657,-1.0,
248,M50L-21,54.0,548.6,1262.3,matched,3410.0,811.0,1298.0,0.9951284289084976,3.0,
249,M50L-21,54.0,548.6,1262.3,matched,3410.0,811.0,1298.0,0.9951284289084976,3.0,
250,M50L-21,54.0,548.6,1262.3,matched,3410.0,811.0,1298.0,0.9951284289084976,3.0,
251,M50L-21,55.0,364.5,1194.9,matched,3512.0,1000.0,1227.0,0.7304284292552472,3.0,
252,M50L-21,55.0,385.7,1206.2,matched,3432.0,967.0,1245.0,0.994255817283652,3.0,
253,M50L-21,55.0,407.7,1218.3,matched,3476.0,958.0,1250.0,0.7425869916805641,3.0,
254,M50L-21,55.0,506.7,1255.8,matched,3478.0,858.0,1287.0,0.6579947710186108,3.0,
255,M50L-21,55.0,624.6,1274.3,matched,3532.0,740.0,1306.0,0.99475638503805,3.0,
256,M50L-21,55.0,749.9,1269.6,matched,3499.0,615.0,1301.0,0.9989033596774533,3.0,
257,M50L-21,56.0,159.1,336.1,matched,3570.0,1205.0,368.0,0.992991122540716,1.0,
258,M50L-21,56.0,617.2,1273.6,matched,3557.0,747.0,1306.0,0.8059120802393754,3.0,
259,M50L-21,56.0,624.2,1274.8,matched,3557.0,747.0,1306.0,0.8059120802393754,3.0,
260,M50L-21,56.0,517.8,1257.4,matched,3545.0,849.0,1289.0,0.9954524689895472,3.0,
261,M50L-21,56.0,468.8,1244.0,matched,3544.0,906.0,1272.0,0.0967640745427682,3.0,
262,M50L-21,56.0,457.5,1240.0,matched,3544.0,906.0,1272.0,0.0967640745427682,3.0,
263,M50L-21,57.0,64.8,611.4,matched,3602.0,1300.0,643.0,0.9196711883953578,1.0,
264,M50L-21,57.0,493.8,1251.8,matched,3622.0,871.0,1283.0,0.0209288097204989,-1.0,
265,M50L-21,59.0,562.5,1267.3,no_match,,,,,,
266,M50L-21,59.0,511.0,1256.3,matched,3765.0,853.0,1288.0,0.1797011626342526,3.0,
267,M50L-21,61.0,996.4,237.1,matched,3865.0,368.0,268.0,0.9992568324595416,1.0,
268,M50L-21,62.0,164.6,381.7,matched,3939.0,1198.0,413.0,0.99917627919115,4.0,
269,M50L-22,26.0,309.1,186.5,matched,1759.0,1057.0,232.0,0.9990701200663904,3.0,
270,M50L-22,30.0,465.9,98.1,matched,1999.0,899.0,147.0,0.9483831152994288,3.0,
271,M50L-22,31.0,495.6,90.4,matched,2027.0,869.0,138.0,0.9988983912700764,3.0,
272,M50L-22,31.0,369.5,142.8,matched,2061.0,994.0,190.0,0.9972100500669736,3.0,
273,M50L-22,31.0,327.1,165.3,matched,2014.0,1036.0,216.0,0.7428102583739721,3.0,
274,M50L-22,31.0,248.3,235.7,matched,2062.0,1115.0,282.0,0.9984021999933368,3.0,
275,M50L-22,34.0,443.4,104.9,matched,2209.0,922.0,156.0,0.9965264886080096,3.0,
276,M50L-22,40.0,423.2,116.6,matched,2572.0,940.0,163.0,0.9138769344916629,3.0,
277,M50L-22,47.0,351.7,345.2,matched,3023.0,1014.0,391.0,0.9993486986990184,1.0,
278,M50L-22,48.0,188.7,305.4,matched,3050.0,1175.0,351.0,0.9863785433548422,3.0,
279,M50L-22,49.0,350.2,156.2,matched,3116.0,1014.0,202.0,0.9974083112043404,3.0,
280,M50L-22,54.0,909.5,994.8,matched,3435.0,456.0,1041.0,0.998955141591567,1.0,
281,M50L-22,54.0,292.6,195.9,no_match,,,,,,
282,M50L-22,55.0,732.9,75.6,matched,3478.0,631.0,122.0,0.996306875215785,3.0,
283,M50L-22,55.0,645.5,72.3,matched,3507.0,718.0,119.0,0.9991500585399604,1.0,
284,M50L-22,56.0,1261.8,525.4,matched,3549.0,104.0,572.0,0.9559712068160952,1.0,
285,M50L-22,56.0,343.6,160.4,matched,3565.0,1019.0,207.0,0.9991214005273272,3.0,
286,M50L-22,56.0,484.6,96.6,matched,3518.0,891.0,147.0,0.9823148934321564,3.0,
287,M50L-22,56.0,572.5,77.9,matched,3551.0,792.0,125.0,0.99787108331039,3.0,
288,M50L-22,57.0,113.0,443.1,matched,3594.0,1252.0,490.0,0.9964068811938088,3.0,
289,M50L-22,57.0,449.2,107.6,matched,3595.0,913.0,154.0,0.4726386553460915,3.0,
290,M50L-22,58.0,395.4,131.7,matched,3699.0,968.0,178.0,0.9770972727785168,-1.0,
291,M50L-22,58.0,475.5,99.9,matched,3673.0,886.0,146.0,0.4990329905508686,4.0,
292,M50L-22,58.0,506.2,90.2,matched,3709.0,858.0,138.0,0.9980927888896686,3.0,
293,M50L-22,58.0,538.0,84.6,matched,3671.0,827.0,131.0,0.9993756141420646,3.0,
294,M50L-22,62.0,449.1,296.0,matched,3932.0,913.0,345.0,0.9991981160539152,2.0,
295,M50L-22,64.0,843.1,769.1,matched,4077.0,520.0,818.0,0.9975413651913388,1.0,
296,M50L-23,1.7,1051.3,381.5,no_match,,,,,,
297,M50L-23,20.0,546.4,154.6,matched,1368.0,832.0,212.0,0.8130536369600875,1.0,
298,M50L-23,20.0,1056.1,826.5,matched,1340.0,324.0,883.0,0.989446873331834,1.0,
299,M50L-23,26.0,1007.1,1197.2,no_match,,,,,,
300,M50L-23,26.0,1079.8,511.1,matched,1737.0,300.0,568.0,0.978050776302632,1.0,
